# Create a 16x12 tile map with an checker board pattern of the first four cels
8	6	16 13

29	12	12	29	29	29	12	12	12	29	29	12	12	12	12	12
29	29	29	29	12	29	12	29	29	29	29	29	12	12	12	12
29	12	29	29	12	29	29	29	12	29	29	29	29	29	29	29
29	29	12	12	12	12	12	29	12	29	12	12	12	29	12	12

12	29	12	29	29	12	12	29	12	29	29	12	12	29	29	29
29	29	12	12	29	12	29	29	12	29	12	12	12	29	12	29
29	12	12	29	29	12	29	12	29	29	12	12	29	29	12	29
29	29	12	29	12	29	29	12	29	12	29	29	29	12	12	29
12	29	29	12	12	29	12	12	29	29	12	29	12	29	29	29

12	29	29	12	29	29	12	12	29	12	12	29	12	29	12	12
12	12	29	12	29	12	12	12	29	12	12	29	12	29	12	12
12	12	29	12	12	12	12	12	12	12	12	12	12	29	29	29
12	12	29	29	12	12	12	12	12	12	12	12	12	12	12	28 
